Oberammergau
Budapest, Nemzeti Táncszínház 1014 Színház u. 5-7
Monarchia hajó
Debrecen Péterfia u.
Kék Iskola Budapest. X ker.
Tápiószecső Heök
Táborfalva, Helyőrségi Klub kerthelyisége Honvéd út 2.
Budapest, Honvéd Kulturális Központ
Budapest, Művészetek Palotája
Budapest Ferihegy
Kecskeméti Légjárműjavító
Szolnok - Aba Novák Kulturális Központ
Keszthely heök
Budafok-Tétényi Műv. közp.
Szkéné színház
Kecskeméti heök
Kassa Állami színház
Szentes Megyeháza
Pécs
Budapest, Erzsébetligeti Színház
Vadrózsa Étterem
Székesfehérvár
Győr - Laktanya u. 1. színházterem
Nagykanizsai Heök, Ady E. u. 7.
Budapest, Zeneakadémia
Budapest, Hungária körúti Objektum Díszterme Hungária krt. 9-11
Budapest,  XII. Schweidel u. 2-4.
Várpalota Katolikus templom
Hadtört. Múzeum Márványterme
Nemzeti Színház
Monarchia Étterem Virányosi út
Izrael
Miskolc - volt Hadkieg. Tiszti étkezde
Zách u.
Szentmihályi út 107. Irinyi János Laktanya
Gödi csapat pihenő
Annavölgyi üdülő
Szentendre
Bujáki üdülő
Erdőbényei üdülő
Balatonkenese, Honvéd üdülő Tompa M. út 1.
Olasz Kultúrintézet
Budapest, Nemzeti Táncszínház
Győr, Bercsényi liget 99 - 101.
Ercsi Heök, Szent istván út 11. , Eötvös Művház
Folyondár u. 15. Vasas sportcsarnok
Gyöngyös Kolping ház, Mátra Kaszinó, Fő tér 9.
Szentendre, Dózsa Gy út 12 - 14. MH Közp. Kiképző bázis
Székesfehérvár Szent István Művh. Liszt F. u. 2.
Kiskőrös - Thermál Étterem, Erdőteleki út 22.
Erdőbényei üdülő étterme
Székesfehérvár Alba Regia Laktanya
Érdi Művelődési Központ Érd, Alsó u. 9.
Gödör
Szabadka
Tata - Művelődési Ház
Ada
Sissy terem
Színészkar február 16. és 24. között a Tatabányai színházban próbál Bevetést
Kaposvár - Füredi út 146.
Csili Művelődési Központ XX. Ker. Nagy Győrei István u. 4-6.
Városmajori gimnázium
Tatabányai Színház
Rákosfalvai templom
Böszörményi út 21.
Szolnok, SZHB
Pápa, HEÖ klub
12 Légv. Rakétaezred, színházterem, Győr
Székesfehérvár, Malom u. 2.
Hadtörténeti Múzeum
Kiskunfélegyháza
Jánoshalma
Aszód, Szabadság tér 10.
MH II. 2. ép. 1. em. 3
Debreceni Laktanya
Zách u. 4. színházterem
Kaposvár, Táncsics Laktanya, Füredi u. 146/a
Lehel út 2.
Sopron Fő tér vagy Liszt Ferenc Kult. Közp.
Somlói út 51. Balassa intézet, színházterem
Monarchia Étterem
Hadötrténeti Múzeum
Balatonföldvár - Kőröshegyi út 1. Bajor Gizi Közösségi Ház
Tatai Színház
Hatvan Grassalkovich Műv. Közp. Kossuth tér 2.
Siófok - Kálmán Imre Kult. Közp. Színházterme
Tatabánya
Eger, Kossuth u. 12.
Salgótarján, József A. Műv. közp, Fő tér 5.
KUSZA
Nagyvárad
Millenium Hajó
Orbánhegyi út 7. Fekete István iskola tornaterme
Mogyoród - ált. isk. tornaterme
Operett Színház
Bolyai
Csongárd, Ifjúsági téri szabadtéri színpad vagy Művh.
Marosvásárhely
Kaposvár
Zágráb
Zágrábból műszak vissza
Zalaegsezrszeg
Tata, Laktanya étkezde
Margitszigeti nagyrét szabadtéri színpad
Abasár
Városliget
Szentendre, Dózsa Gy. Út 12-14.
Debreceni Sportcsarnok
MH 2. objektum
HEMO Veszprém
Székesfehérvár, Vörösmarty Színház
Egri Gárdonyi Színház
Geilenkirchen 23 - 26 ig
Puskás Stadion
Pákozd Emlékmű avatás
Szolnok, MH 85. SZHB repülőtér
Petőfi Laktanya
Szusza Ferenc stadion
Alabárdos étterem
Zách utca, Katonai Közlekedés Napja
Indulás Olaszországba
Észak-Olaszország. Piacenza
Komárom, Monostori erőd
Érkezés Olaszországból
utazás Münchenbe
Veszprém
München
Aréna

Zách utca
Székesfehérvár - tisztiklub
Győr - VI. Magyar Táncfesztivál
Millennium hajó
Debreceni Katonazenekari Feszt.
Honvéd Kórház Róbert Károly kürút Kék terem
2. obj.
Kecskemét
Solbiata Olona
Trieszt
Szabadszállás
júli 7 - 23. Honvéd Táncszínház szabadság
júli 10 - aug. 4 Férfikari szabadság
Balatonkenese
Tata - lemondva!
Győr
Nagyvázsony
MH Hadikikötő
Pápa
Nagyvázsony - Műv völgye
Nemesvámos, Községháza mellett
Zemplén
Szeged
Szerencsi Kat. Temlom
Sárospatak
Göd
Sárospatak - Szabadtéri színpad
Budapest
Domonyvölgy
Hősök tere
MH log ellátó közp., Újszász u.37-39.
Szabadkáról vissza
Budapest - Bazilika
Légrád
Rákóczi hajó
ORFK - Vágóhíd u. 9-11.
Szolnok, Béketámogatói Kiképző Központ
Komarno
Székesfehérvár ÖHP - Alba Regia laktanya
Ócsa, Syngenta-a cég telephelyén
Zseliz
Westend tetőterasz - Főszezon
Budapest, XIII.k. Béke tér A béke nemzetközi napja, békedemonstráció
Debrecen
Miskolc, Hatvanötösök u. 2.
Sukoró, Templom
Békéscsaba
Tószeg
Domonyvölgy, Lázár Lovaspark
Pákozdi emlékmű
Parlament Vadászterme
Hadik Szálló
Marcali, Orgona u. 2.
Szeged, Vármegye étterem, Rákóczi tér 1.
Orosháza, Eötvös Ált. isk., Bercsényi u. 2.
Kaposvár - HEÖ klub
Fertőszentmiklós, Szent István u. 20.
ZMNE kampusz díszterem
Logisztikai ellátó közp.
Szarvas, Vajda Péter Művelődési Központ
Nyíregyháza, HEÖ klub
Nápoly
Pusztavacs, Dánszentmiklósi u. 1. ?
Taploca, Stadion u. 16.
Bp - Logisztikai ellátó közp.
II. obj II. ép rendezvényterem
