Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channles,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus,Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
ABe15St 7,0°,10W,ABe15St 7,,31,,319,1,1,robotz,,,,,,-,0.0kg,Location,-4.3m,1.75m,6m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,d9791b49-032c-4122-bc3a-94ece7837b44,
ABe15St 8,0°,10W,ABe15St 8,,32,,342,1,1,robotz,,,,,,-,0.0kg,Location,-2.58m,1.75m,6m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,d9791b49-032c-4122-bc3a-94ece7837b44,
ABe15St 9,0°,10W,ABe15St 9,,33,,365,1,1,robotz,,,,,,-,0.0kg,Location,-0.86m,1.75m,6m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,d9791b49-032c-4122-bc3a-94ece7837b44,
ABe15St 10,0°,10W,ABe15St 10,,34,,388,1,1,robotz,,,,,,-,0.0kg,Location,0.86m,1.75m,6m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,d9791b49-032c-4122-bc3a-94ece7837b44,
ABe15St 11,0°,10W,ABe15St 11,,35,,411,1,1,robotz,,,,,,-,0.0kg,Location,2.58m,1.75m,6m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,d9791b49-032c-4122-bc3a-94ece7837b44,
ABe15St 12,0°,10W,ABe15St 12,,36,,434,1,1,robotz,,,,,,-,0.0kg,Location,4.3m,1.75m,6m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,d9791b49-032c-4122-bc3a-94ece7837b44,
Mac250+2 1,0°,10W,Mac250+2 1,,1,,7,1,1,robotz,,,,,,-,0.0kg,Location,-5m,-3m,6m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,d9791b49-032c-4122-bc3a-94ece7837b44,
Mac250+2 2,0°,10W,Mac250+2 2,,2,,18,1,1,robotz,,,,,,-,0.0kg,Location,-3m,-3m,6m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,d9791b49-032c-4122-bc3a-94ece7837b44,
Mac250+2 3,0°,10W,Mac250+2 3,,3,,29,1,1,robotz,,,,,,-,0.0kg,Location,-1m,-3m,6m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,d9791b49-032c-4122-bc3a-94ece7837b44,
Mac250+2 4,0°,10W,Mac250+2 4,,4,,40,1,1,robotz,,,,,,-,0.0kg,Location,1m,-3m,6m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,d9791b49-032c-4122-bc3a-94ece7837b44,
Mac250+2 5,0°,10W,Mac250+2 5,,5,,51,1,1,robotz,,,,,,-,0.0kg,Location,3m,-3m,6m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,d9791b49-032c-4122-bc3a-94ece7837b44,
Mac250+2 6,0°,10W,Mac250+2 6,,6,,62,1,1,robotz,,,,,,-,0.0kg,Location,5m,-3m,6m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,d9791b49-032c-4122-bc3a-94ece7837b44,
Generic Par 64,CP63,1000W,Dim 1,,1,,1,1,1,dim,,,,,,-,1.8kg,Location,-5m,-10m,6m,45.282°,-5.663°,-5.691°,,0°,0°,No,0,0,No,0°,0°,6fab9e30-7f50-4c65-ad39-506608a1d760,
Generic Par 64,CP63,1000W,Dim 2,,2,,2,1,1,dim,,,,,,-,1.8kg,Location,-3m,-10m,6m,45°,0°,-0°,,0°,0°,No,0,0,No,0°,0°,6fab9e30-7f50-4c65-ad39-506608a1d760,
Generic Par 64,CP63,1000W,Dim 3,,3,,3,1,1,dim,,,,,,-,1.8kg,Location,-1m,-10m,6m,45°,0°,-0°,,0°,0°,No,0,0,No,0°,0°,6fab9e30-7f50-4c65-ad39-506608a1d760,
Generic Par 64,CP63,1000W,Dim 4,,4,,4,1,1,dim,,,,,,-,1.8kg,Location,1m,-10m,6m,45°,0°,-0°,,0°,0°,No,0,0,No,0°,0°,6fab9e30-7f50-4c65-ad39-506608a1d760,
Generic Par 64,CP63,1000W,Dim 5,,5,,5,1,1,dim,,,,,,-,1.8kg,Location,3m,-10m,6m,45°,0°,-0°,,0°,0°,No,0,0,No,0°,0°,6fab9e30-7f50-4c65-ad39-506608a1d760,
Generic Par 64,CP63,1000W,Dim 6,,6,,6,1,1,dim,,,,,,-,1.8kg,Location,5m,-10m,6m,45.577°,8.076°,8.157°,,0°,0°,No,0,0,No,0°,0°,6fab9e30-7f50-4c65-ad39-506608a1d760,
