Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channles,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus,Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
Generic Par 64,CP63,1000W,Generic Par 64,,3,2,3,,,dimmerz Layer,,,,,,comment,"1,8kg",dimmerz,-3.182m,-10m,6m,45°,0°,-0°,0°,0°,No,0°,0°,No,0°,0°,No,,e6db098c-b565-411a-b2f7-0f2e6273825a
Generic Par 64,CP63,1000W,Generic Par 64,,4,2,4,,,dimmerz Layer,,,,,,comment,"1,8kg",dimmerz,-2.273m,-10m,6m,45°,0°,-0°,0°,0°,No,0°,0°,No,0°,0°,No,,e6db098c-b565-411a-b2f7-0f2e6273825a
Generic Par 64,CP63,1000W,Generic Par 64,,5,2,5,,,dimmerz Layer,,,,,,comment,"1,8kg",dimmerz,-1.364m,-10m,6m,45°,0°,-0°,0°,0°,No,0°,0°,No,0°,0°,No,,e6db098c-b565-411a-b2f7-0f2e6273825a
Generic Par 64,CP63,1000W,Generic Par 64,,6,2,6,,,dimmerz Layer,,,,,,comment,"1,8kg",dimmerz,-0.455m,-10m,6m,45°,0°,-0°,0°,0°,No,0°,0°,No,0°,0°,No,,e6db098c-b565-411a-b2f7-0f2e6273825a
Generic Par 64,CP63,1000W,Generic Par 64,,7,2,7,,,dimmerz Layer,,,,,,comment,"1,8kg",dimmerz,0.455m,-10m,6m,45°,0°,-0°,0°,0°,No,0°,0°,No,0°,0°,No,,e6db098c-b565-411a-b2f7-0f2e6273825a
Generic Par 64,CP63,1000W,Generic Par 64,,8,2,8,,,dimmerz Layer,,,,,,comment,"1,8kg",dimmerz,1.364m,-10m,6m,45°,0°,-0°,0°,0°,No,0°,0°,No,0°,0°,No,,e6db098c-b565-411a-b2f7-0f2e6273825a
Generic Par 64,CP63,1000W,Generic Par 64,,9,2,9,,,dimmerz Layer,,,,,,comment,"1,8kg",dimmerz,2.273m,-10m,6m,45°,0°,-0°,0°,0°,No,0°,0°,No,0°,0°,No,,e6db098c-b565-411a-b2f7-0f2e6273825a
Generic Par 64,CP63,1000W,Generic Par 64,,10,2,10,,,dimmerz Layer,,,,,,comment,"1,8kg",dimmerz,3.182m,-10m,6m,45°,0°,-0°,0°,0°,No,0°,0°,No,0°,0°,No,,e6db098c-b565-411a-b2f7-0f2e6273825a
Generic Par 64,CP63,1000W,Generic Par 64,,11,2,11,,,dimmerz Layer,,,,,,comment,"1,8kg",dimmerz,4.091m,-10m,6m,45°,0°,-0°,0°,0°,No,0°,0°,No,0°,0°,No,,e6db098c-b565-411a-b2f7-0f2e6273825a
Generic Par 64,CP63,1000W,Generic Par 64,,12,2,12,,,dimmerz Layer,,,,,,comment,"1,8kg",dimmerz,5m,-10m,6m,45°,0°,-0°,0°,0°,No,0°,0°,No,0°,0°,No,,e6db098c-b565-411a-b2f7-0f2e6273825a
Generic Par 64,CP63,1000W,Generic Par 64,,13,3,381,,,nt Layer,,,,,,comment,"1,8kg",nt,-5m,-19.952m,6.012m,0°,-43.545°,0°,0°,0°,No,0°,0°,No,0°,0°,No,,0e6fb6f9-6c09-474d-9bde-082d4bf28eae
Generic Par 64,CP63,1000W,Generic Par 64,,13,3,381,,,nt Layer,,,,,,comment,"1,8kg",nt,-5m,-17.952m,6.012m,0°,-43.545°,0°,0°,0°,No,0°,0°,No,0°,0°,No,,0e6fb6f9-6c09-474d-9bde-082d4bf28eae
Generic Par 64,CP63,1000W,Generic Par 64,,13,3,381,,,nt Layer,,,,,,comment,"1,8kg",nt,-5m,-15.952m,6.012m,0°,-43.545°,0°,0°,0°,No,0°,0°,No,0°,0°,No,,0e6fb6f9-6c09-474d-9bde-082d4bf28eae
Generic Par 64,CP63,1000W,Generic Par 64,,13,3,381,,,nt Layer,,,,,,comment,"1,8kg",nt,-5m,-13.952m,6.012m,0°,-43.545°,0°,0°,0°,No,0°,0°,No,0°,0°,No,,0e6fb6f9-6c09-474d-9bde-082d4bf28eae
Generic Par 64,CP63,1000W,Generic Par 64,,13,3,381,,,nt Layer,,,,,,comment,"1,8kg",nt,-5m,-11.952m,6.012m,0°,-43.545°,0°,0°,0°,No,0°,0°,No,0°,0°,No,,0e6fb6f9-6c09-474d-9bde-082d4bf28eae
Generic Par 64,CP63,1000W,Generic Par 64,,13,3,381,,,nt Layer,,,,,,comment,"1,8kg",nt,5m,-19.922m,6.012m,-0°,42.399°,-0°,0°,0°,No,0°,0°,No,0°,0°,No,,0e6fb6f9-6c09-474d-9bde-082d4bf28eae
Generic Par 64,CP63,1000W,Generic Par 64,,13,3,381,,,nt Layer,,,,,,comment,"1,8kg",nt,5m,-17.922m,6.012m,-0°,42.399°,-0°,0°,0°,No,0°,0°,No,0°,0°,No,,0e6fb6f9-6c09-474d-9bde-082d4bf28eae
Generic Par 64,CP63,1000W,Generic Par 64,,13,3,381,,,nt Layer,,,,,,comment,"1,8kg",nt,5m,-15.922m,6.012m,-0°,42.399°,-0°,0°,0°,No,0°,0°,No,0°,0°,No,,0e6fb6f9-6c09-474d-9bde-082d4bf28eae
Generic Par 64,CP63,1000W,Generic Par 64,,13,3,381,,,nt Layer,,,,,,comment,"1,8kg",nt,5m,-13.922m,6.012m,-0°,42.399°,-0°,0°,0°,No,0°,0°,No,0°,0°,No,,0e6fb6f9-6c09-474d-9bde-082d4bf28eae
Generic Par 64,CP63,1000W,Generic Par 64,,13,3,381,,,nt Layer,,,,,,comment,"1,8kg",nt,5m,-11.922m,6.012m,-0°,42.399°,-0°,0°,0°,No,0°,0°,No,0°,0°,No,,0e6fb6f9-6c09-474d-9bde-082d4bf28eae
