Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
Generic Par 64,CP60,1000W,,,0,,A.1,Control,1,Default layer,,,,,,,"1,8kg",,0m,"-1,731m","3,190m",-0°,-0°,0°,0°,0°,No,,,No,,,357009F4-C025-4285-BDD7-C65C47B97AC6,
Chroma-Q Universal,,0W,,,0,,A.2,Mode 1,1,Default layer,,,,,,,"2,5kg",,0m,"-1,731m","3,190m",-0°,-0°,0°,0°,0°,No,,,No,,,9156DB22-BE81-482F-8781-78D4DCDABA8C,
